factor,双低_负相关,强赎触发比率_正相关,收盘价_负相关,正股总市值_负相关,涨跌停标记率_正相关,理论偏离度_负相关,理论溢价率_正相关,股息率_负相关,转股价值_负相关,转股溢价率_负相关
双低_负相关,1,0.874103493,0.873891676,0.713864376,0.864288659,0.811215829,0.797708036,0.869415641,0.797708036,0.428294693
强赎触发比率_正相关,0.874103493,1,0.999779178,0.728385774,0.990532435,0.803211519,0.869011761,0.926927947,0.869011761,0.371126718
收盘价_负相关,0.873891676,0.999779178,1,0.728188842,0.990706037,0.803416971,0.86918299,0.926674197,0.86918299,0.371379545
正股总市值_负相关,0.713864376,0.728385774,0.728188842,1,0.7262646,0.739601004,0.778238122,0.716305878,0.778238122,0.532630278
涨跌停标记率_正相关,0.864288659,0.990532435,0.990706037,0.7262646,1,0.798471602,0.871449109,0.926161491,0.871449109,0.358470744
理论偏离度_负相关,0.811215829,0.803211519,0.803416971,0.739601004,0.798471602,1,0.786117921,0.764104188,0.786117921,0.602489839
理论溢价率_正相关,0.797708036,0.869011761,0.86918299,0.778238122,0.871449109,0.786117921,1,0.842045492,1,0.429150352
股息率_负相关,0.869415641,0.926927947,0.926674197,0.716305878,0.926161491,0.764104188,0.842045492,1,0.842045492,0.334436562
转股价值_负相关,0.797708036,0.869011761,0.86918299,0.778238122,0.871449109,0.786117921,1,0.842045492,1,0.429150352
转股溢价率_负相关,0.428294693,0.371126718,0.371379545,0.532630278,0.358470744,0.602489839,0.429150352,0.334436562,0.429150352,1
